,0
0,0.06941
1,0.116995
2,0.09921499999999998
3,0.11892000000000003
4,0.108195
5,0.10384999999999997
6,0.102275
7,0.103145
8,0.10364499999999999
9,0.10279
10,0.10441500000000001
11,0.1025
12,0.1028
13,0.08202000000000001
14,0.10396000000000001
15,0.08288999999999999
16,0.10215000000000003
17,0.10360499999999999
18,0.102795
19,0.10406
20,0.08146
21,0.03577
22,0.0036450000000000002
23,1.4999999999999999e-05
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
